episode,task_name,task_index,total_reward,num_steps,final_best_fitness,mean_step_reward,mean_normalized_step_reward,num_updates,replay_size,actor_loss,critic_loss,alpha_loss,alpha,q_mean,log_prob,action_saturation
10,BBOB_F1,0,21.35650056415506,99,3.182470547486648e-08,0.2157222279207582,0.07729110996829501,99,1089,-16.407861709594727,4.845198631286621,-86.14865112304688,0.15082480013370514,14.062018394470215,-15.548885345458984,0.01145833358168602
11,BBOB_F1,0,17.90719034909982,99,7.955687265453814e-07,0.1808807105969679,-0.04359376074577789,99,1188,-17.672657012939453,1.5936062335968018,-86.06365203857422,0.14653682708740234,15.500300407409668,-14.820380210876465,0.01614583283662796
12,BBOB_F1,0,16.12671769045899,99,5.011217650839173e-06,0.16289613828746446,-0.10088779959564273,99,1287,-18.556625366210938,2.64461612701416,-88.37808990478516,0.14237543940544128,16.371179580688477,-15.345401763916016,0.01822916604578495
13,BBOB_F1,0,23.048617535753035,99,6.1218339541513426e-09,0.23281431854295992,0.1430822079311123,99,1386,-19.478269577026367,1.9983761310577393,-87.03056335449219,0.13846823573112488,17.53567886352539,-14.025211334228516,0.015625
14,BBOB_F1,0,22.96450948248813,99,5.6860456439912385e-09,0.23196474224735483,0.12797169790383683,99,1485,-20.978456497192383,1.2262802124023438,-83.649169921875,0.13468670845031738,19.398101806640625,-11.730243682861328,0.02083333395421505
15,BBOB_F1,0,16.20105566188213,99,6.5636641885194485e-06,0.16364702688769828,-0.11242261523612469,99,1584,-21.11186981201172,5.098913192749023,-86.91607666015625,0.13096682727336884,19.43992805480957,-12.76253604888916,0.01718750037252903
16,BBOB_F1,0,21.15218544588152,99,3.8230282720448416e-08,0.21365843884728816,0.06809671552292886,99,1683,-22.457733154296875,2.353989601135254,-86.9681396484375,0.1274106502532959,20.900827407836914,-12.216227531433105,0.01822916604578495
17,BBOB_F1,0,19.943651247143038,99,7.28035643241143e-08,0.20145102269841456,0.018661639922176645,99,1782,-22.50971031188965,2.4423036575317383,-85.87425231933594,0.12399282306432724,21.127761840820312,-11.142265319824219,0.03437500074505806
18,BBOB_F1,0,17.850797949106372,99,4.6182703926057826e-07,0.18031109039501395,-0.04929125364121467,99,1881,-23.065921783447266,1.673948049545288,-85.77052307128906,0.12072694301605225,21.7890567779541,-10.573587417602539,0.02291666716337204
19,BBOB_F1,0,21.184749091013117,99,1.961038614239591e-08,0.2139873645556881,0.06567080841874988,99,1980,-25.515953063964844,2.1911025047302246,-79.99668884277344,0.11754735559225082,24.649375915527344,-7.370237827301025,0.03958333283662796
20,BBOB_F1,0,23.133553192934396,99,2.5770051136454295e-09,0.23367225447408474,0.12824189352835313,99,2079,-25.317852020263672,3.585103988647461,-79.09790802001953,0.11442437022924423,24.574861526489258,-6.491527080535889,0.04062499850988388
21,BBOB_F1,0,20.762395570573812,99,2.207951671965571e-08,0.2097211673795335,0.041209970145397415,99,2178,-25.98375701904297,9.571795463562012,-83.38221740722656,0.11137787252664566,25.093036651611328,-7.9950995445251465,0.0338541679084301
22,BBOB_F1,0,12.741723668823274,99,0.00012603587416026526,0.1287042794830634,-0.23407162360229064,99,2277,-26.7784423828125,2.3583266735076904,-90.82188415527344,0.10843497514724731,25.5976505279541,-10.886364936828613,0.03750000149011612
23,BBOB_F1,0,22.815991933361385,99,8.489304666795235e-09,0.23046456498344836,0.11838882313903062,99,2376,-26.950347900390625,6.433815956115723,-74.01577758789062,0.10560064762830734,26.641109466552734,-2.927628993988037,0.04843749850988388
24,BBOB_F1,0,31.51400432112152,99,1.141130619577935e-12,0.3183232759709244,0.4079998296911265,99,2475,-27.324804306030273,6.042871952056885,-77.1502456665039,0.10302048921585083,26.917938232421875,-3.9483940601348877,0.03958333283662796
25,BBOB_F1,0,26.529719874700973,99,1.5730792528413567e-10,0.267976968431323,0.2195739685624634,99,2574,-27.83954620361328,5.564411163330078,-84.28929901123047,0.10032618045806885,27.170940399169922,-6.662511348724365,0.0442708320915699
26,BBOB_F1,0,17.827136852206174,99,9.530763142745303e-07,0.18007208941622402,-0.08022882574744288,99,2673,-28.2294979095459,3.373418092727661,-88.63510131835938,0.09767728298902512,27.437166213989258,-8.109434127807617,0.04374999925494194
27,BBOB_F1,0,21.871641805480692,99,9.818803015592563e-09,0.22092567480283531,0.05840879358312835,99,2772,-28.613557815551758,13.922523498535156,-79.63204193115234,0.09507524222135544,28.24786376953125,-3.845346450805664,0.05104166641831398
28,BBOB_F1,0,23.645887839329347,99,2.389147160670656e-09,0.2388473519124177,0.11592879812677485,99,2871,-29.759708404541016,4.711733341217041,-81.9765625,0.0926322266459465,29.3464298248291,-4.46036434173584,0.0442708320915699
29,BBOB_F1,0,28.95299119948786,99,1.1813845043695346e-11,0.29245445656048336,0.2881013539019105,99,2970,-30.19293785095215,3.7898001670837402,-79.20703887939453,0.09033311903476715,29.926542282104492,-2.948256015777588,0.04635416716337204
30,BBOB_F1,0,27.490454511713164,99,3.946893674997289e-11,0.27768135870417343,0.22868212106624805,99,3069,-30.319345474243164,5.717225074768066,-82.3158950805664,0.08797396719455719,29.978899002075195,-3.8687527179718018,0.04791666567325592
31,BBOB_F1,0,18.94153262331926,99,3.4071608377513523e-07,0.1913286123567603,-0.06145521840014905,99,3168,-31.359086990356445,3.800121307373047,-82.91285705566406,0.08562289923429489,31.038923263549805,-3.7382044792175293,0.05312500149011612
32,BBOB_F1,0,16.968144308427366,99,1.9275883068623203e-06,0.17139539705482187,-0.12460216624595925,99,3267,-32.041744232177734,4.3474273681640625,-88.51655578613281,0.08330236375331879,31.57341957092285,-5.620383262634277,0.0416666679084301
33,BBOB_F1,0,19.418365824985557,99,1.7136784201995375e-07,0.19614510934328847,-0.04021518563850575,99,3366,-32.393436431884766,3.6539270877838135,-86.95195007324219,0.08104263246059418,32.0198974609375,-4.6078362464904785,0.05885416641831398
34,BBOB_F1,0,19.44317014792024,99,2.1654457350378303e-07,0.19639565805980042,-0.03766299413340215,99,3465,-31.51576042175293,15.10757827758789,-90.07638549804688,0.07886359840631485,31.084535598754883,-5.4664506912231445,0.05104166641831398
35,BBOB_F1,0,23.280485630118772,99,1.446581927728248e-09,0.23515642050625027,0.08833206845206891,99,3564,-31.83853530883789,3.52396297454834,-78.08511352539062,0.07684174925088882,31.805213928222656,-0.4335367679595947,0.06354166567325592
36,BBOB_F1,0,27.94988639320647,99,4.686490866242038e-11,0.28232208477986337,0.24223588237335697,99,3663,-33.19680404663086,2.8329079151153564,-77.14984893798828,0.07492738217115402,33.21356964111328,0.22373339533805847,0.0625
37,BBOB_F1,0,34.03558942258059,99,9.15367352248809e-14,0.3437938325513191,0.4329658262138314,99,3762,-32.5196418762207,4.483124732971191,-81.7161636352539,0.0730658620595932,32.42934036254883,-1.2355666160583496,0.05624999850988388
38,BBOB_F1,0,24.549777514067284,99,1.024317480314219e-09,0.2479775506471443,0.10883160186649882,99,3861,-32.42753219604492,13.443815231323242,-78.02552032470703,0.07114442437887192,32.461402893066406,0.47597336769104004,0.05677083507180214
39,BBOB_F1,0,13.462127558874945,99,3.215454575031594e-05,0.13598108645328233,-0.2537805742878051,99,3960,-33.72332763671875,4.906587600708008,-76.95767974853516,0.06922668218612671,33.804901123046875,1.1780588626861572,0.06458333134651184
40,BBOB_F1,0,18.685333751482965,99,2.830400218115066e-07,0.18874074496447432,-0.0772595225163992,99,4059,-34.69294738769531,3.6726670265197754,-80.75910949707031,0.06742652505636215,34.69630432128906,0.049845367670059204,0.06093750149011612
41,BBOB_F1,0,18.595437649914487,99,3.65441028530024e-07,0.18783270353448978,-0.07983307602019961,99,4158,-32.657291412353516,7.401822090148926,-88.40706634521484,0.06557276844978333,32.49650955200195,-2.45119047164917,0.05781250074505806
42,BBOB_F1,0,17.99264904271576,99,8.690187096323391e-07,0.1817439297244017,-0.09699685083878104,99,4257,-33.45698165893555,3.2889575958251953,-82.7264175415039,0.06378184258937836,33.453125,-0.06040731072425842,0.07968749850988388
43,BBOB_F1,0,12.072838641760582,99,0.00015273038939868133,0.12194786506828872,-0.2907457709348842,99,4356,-33.984039306640625,11.990161895751953,-80.86078643798828,0.062124162912368774,34.03971862792969,0.8961508274078369,0.06406249850988388
44,BBOB_F1,0,15.395254209134647,99,2.103382748667277e-06,0.15550761827408732,-0.17459861772284163,99,4455,-34.14012145996094,4.221572399139404,-79.8905258178711,0.06051069125533104,34.231834411621094,1.5152599811553955,0.0651041641831398
45,BBOB_F1,0,25.189670808629202,99,4.675582003677613e-10,0.25444111927908286,0.15387081335477978,99,4554,-33.98480987548828,3.921374797821045,-86.19222259521484,0.058917753398418427,33.958740234375,-0.44232189655303955,0.06354166567325592
46,BBOB_F1,0,29.562442933846523,99,5.131207657701788e-12,0.2986105346853184,0.29468391068153643,99,4653,-34.925514221191406,5.352601528167725,-67.33895874023438,0.05757511779665947,35.29460144042969,6.409214973449707,0.07968749850988388
47,BBOB_F1,0,34.41799470048586,99,4.7221344574055416e-14,0.3476565121261198,0.44545084217638914,99,4752,-34.73653793334961,5.849006175994873,-81.72953033447266,0.056154247373342514,34.82728576660156,1.6156549453735352,0.06614582985639572
48,BBOB_F1,0,25.05150735973991,99,6.023817079289059e-10,0.2530455288862618,0.1275569004090556,99,4851,-36.0590705871582,8.03022289276123,-80.36841583251953,0.05469875782728195,36.1871337890625,2.3406319618225098,0.06145833432674408
49,BBOB_F1,0,33.888613897184015,99,8.911980933400131e-14,0.34230923128468715,0.41433477436338867,99,4950,-36.14634323120117,7.113436698913574,-81.23812103271484,0.05334493890404701,36.268028259277344,2.2804183959960938,0.06718750298023224
50,BBOB_F1,0,26.95202769925387,99,9.429158967617866e-11,0.2722427040328673,0.17727401580014263,99,5049,-37.01719284057617,3.549821376800537,-83.23760986328125,0.052058666944503784,37.11262893676758,1.832809567451477,0.06354166567325592
51,BBOB_F1,0,28.71469302569442,99,1.4554948976594438e-11,0.2900474042999436,0.23235327837889366,99,5148,-37.35614013671875,3.5563173294067383,-68.57059478759766,0.050903771072626114,37.71107864379883,6.971113681793213,0.08749999850988388
52,BBOB_F1,0,27.566659678598334,99,3.2255263736991307e-11,0.2784511078646296,0.18989427355689262,99,5247,-36.48797607421875,7.299709320068359,-60.98215103149414,0.0497598797082901,36.96949768066406,9.67499828338623,0.09166666865348816
53,BBOB_F1,0,29.371960124617313,99,6.531701586012531e-12,0.2966864659052254,0.24604507023669064,99,5346,-36.07750701904297,49.49356460571289,-74.48015594482422,0.048678506165742874,36.33830642700195,5.356255531311035,0.07447917014360428
54,BBOB_F1,0,29.15083879161532,99,7.907993444997997e-12,0.2944529170870234,0.23436044764533218,99,5445,-37.184844970703125,4.294525146484375,-79.74413299560547,0.04741637781262398,37.36704635620117,3.841552257537842,0.0729166641831398
55,BBOB_F1,0,20.821596255083882,99,4.1060719616253976e-08,0.21031915409175642,-0.04252202637731603,99,5544,-37.409881591796875,4.422242164611816,-71.34871673583984,0.04625830799341202,37.723777770996094,6.783962249755859,0.09270833432674408
56,BBOB_F1,0,27.792193885160078,99,5.591073946315262e-11,0.28072923116323306,0.18573790345355262,99,5643,-37.43037796020508,4.445627212524414,-59.45869445800781,0.04510553181171417,37.91810607910156,10.810627937316895,0.10625000298023224
57,BBOB_F1,0,12.163258521476614,99,0.0002417252216388468,0.12286119718663245,-0.3282609265546783,99,5742,-36.239051818847656,18.581867218017578,-72.58246612548828,0.04400857910513878,36.5366096496582,6.759448051452637,0.09062500298023224
58,BBOB_F1,0,16.171577115764435,99,4.976461444461747e-06,0.16334926379560039,-0.190951654675731,99,5841,-37.02946853637695,3.889639377593994,-55.37609100341797,0.04293769225478172,37.56234359741211,12.408023834228516,0.10468749701976776
59,BBOB_F1,0,30.65872573084479,99,1.6743621536379282e-12,0.30968409829136145,0.2867015585652737,99,5940,-37.620906829833984,5.2165679931640625,-75.17670440673828,0.04204767942428589,37.884830474853516,6.2753071784973145,0.07968749850988388
60,BBOB_F1,0,29.7476475689676,99,8.108511344894462e-12,0.3004812885754303,0.2510500988457295,99,6039,-37.27092361450195,5.804780006408691,-62.55659484863281,0.041055455803871155,37.6982307434082,10.405801773071289,0.09739582985639572
61,BBOB_F1,0,27.400825903983478,99,6.736372315491082e-11,0.2767760192321563,0.17038256938572288,99,6138,-36.679420471191406,5.522616863250732,-57.784278869628906,0.04011913761496544,37.16218566894531,12.030409812927246,0.09687499701976776
62,BBOB_F1,0,26.889696973867025,99,9.15560326630392e-11,0.2716131007461316,0.15116359062179735,99,6237,-36.665672302246094,3.5990488529205322,-63.729000091552734,0.03914995491504669,37.07024002075195,10.331244468688965,0.09427083283662796
63,BBOB_F1,0,26.202237259128307,99,2.92027542146289e-10,0.2646690632235182,0.12596951352537147,99,6336,-37.347110748291016,3.9272031784057617,-73.4150390625,0.03822966665029526,37.63417053222656,7.5067830085754395,0.09479166567325592
64,BBOB_F1,0,18.327291060284683,99,5.191710004006935e-07,0.1851241521240877,-0.13318348939242483,99,6435,-40.047550201416016,3.7886099815368652,-56.00984573364258,0.03726324066519737,40.53108215332031,12.973349571228027,0.10729166865348816
65,BBOB_F1,0,33.12686957535538,99,2.1688517495700154e-13,0.33461484419550885,0.35404254610212854,99,6534,-37.2116813659668,3.6190550327301025,-58.49525451660156,0.03645055741071701,37.66143798828125,12.336130142211914,0.09010417014360428
66,BBOB_F1,0,31.23717927568364,99,1.4834535181424703e-12,0.31552706339074393,0.28554518447569516,99,6633,-38.48137664794922,24.675212860107422,-73.64485168457031,0.035436224192380905,38.76313400268555,7.948868751525879,0.10520832985639572
67,BBOB_F1,0,24.906820338117658,99,7.233464078020764e-10,0.2515840438193703,0.07367051858604397,99,6732,-37.538143157958984,6.0972795486450195,-70.3224868774414,0.03439297899603844,37.852256774902344,9.130389213562012,0.10000000149011612
68,BBOB_F1,0,24.034014272063324,99,2.499769558936438e-09,0.2427678209299326,0.04480420218742427,99,6831,-37.013153076171875,13.417486190795898,-58.957733154296875,0.0335930772125721,37.43735885620117,12.62475299835205,0.10989583283662796
69,BBOB_F1,0,18.77919396321631,99,3.971055128023194e-07,0.18968882791127592,-0.12833307727326046,99,6930,-37.21234893798828,3.4857261180877686,-46.42348098754883,0.032799337059259415,37.750850677490234,16.414474487304688,0.1197916641831398
70,BBOB_F1,0,20.741313139520752,99,5.349970128254996e-08,0.20950821353051266,-0.061462178567852965,99,7029,-36.85807800292969,20.710147857666016,-50.319129943847656,0.032015711069107056,37.35053634643555,15.377791404724121,0.1328125
71,BBOB_F1,0,16.88035093108195,99,1.433732058171409e-06,0.17050859526345402,-0.18778992904239716,99,7128,-35.439659118652344,5.457548141479492,-19.453908920288086,0.03138481825590134,36.20490646362305,24.379594802856445,0.1484375
72,BBOB_F1,0,27.558937322600766,99,5.420125851231188e-11,0.2783731042686946,0.16517126820043157,99,7227,-37.6815071105957,5.195725440979004,-57.283836364746094,0.03070981055498123,38.09782028198242,13.55293083190918,0.11562500149011612
