episode,reward,best_fitness,reward_ma10,best_fitness_ma10
1,8.947706812531276,0.007028305486447197,8.947706812531276,0.007028305486447197
2,10.43181918956952,0.0019359332992985303,9.689763001050398,0.004482119392872864
3,12.318350402991905,0.0002575507549435332,10.565958801697567,0.0030739298468964206
4,17.271706876728395,1.7357619686941184e-06,12.242395820455274,0.002305881325664489
5,21.906026600852552,1.1837118517513687e-08,14.17512197653473,0.0018447074279552948
6,26.340294067919636,1.8924749440124056e-10,16.202650658432216,0.0015372562215039947
7,26.326475443907743,1.3488186742151441e-10,17.648911342071575,0.0013176482091294052
8,21.289805584989733,2.8418444359854396e-08,18.104023122436345,0.0011529457352937743
9,23.882957769672903,2.103115596161124e-09,18.746126972129296,0.0010248408872739767
10,20.129659197355167,5.527056120590632e-08,18.884480194651882,0.0009223623256026997
11,21.35650056415506,3.182470547486648e-08,20.125359569814258,0.0002195349594285274
12,17.90719034909982,7.955687265453814e-07,20.87289668576729,2.6021186371328886e-05
13,16.12671769045899,5.011217650839173e-06,21.253733414514,7.672326420594798e-07
14,23.048617535753035,6.1218339541513426e-09,21.831424480416466,5.94268628585483e-07
15,22.96450948248813,5.6860456439912385e-09,21.937272768580023,5.936535212981308e-07
16,16.20105566188213,6.5636641885194485e-06,20.92334892797627,1.2500010154006354e-06
17,21.15218544588152,3.8230282720448416e-08,20.405919928173645,1.2538105554859382e-06
18,19.943651247143038,7.28035643241143e-08,20.27130449438898,1.2582490674823642e-06
19,17.850797949106372,4.6182703926057826e-07,19.668088512332325,1.304221459848806e-06
20,21.184749091013117,1.961038614239591e-08,19.773597501698124,1.300655442342455e-06
21,23.133553192934396,2.5770051136454295e-09,19.951302764576052,1.297730672306333e-06
22,20.762395570573812,2.207951671965571e-08,20.236823286723453,1.22038175132376e-06
23,12.741723668823274,0.00012603587416026526,19.89832388455988,1.332284740226637e-05
24,22.815991933361385,8.489304666795235e-09,19.87506132432072,1.3323084149337634e-05
25,31.51400432112152,1.141130619577935e-12,20.730010808184055,1.3322515658886294e-05
26,26.529719874700973,1.5730792528413567e-10,21.762877229465943,1.266616497082688e-05
27,17.827136852206174,9.530763142745303e-07,21.430372370098404,1.2757649573982285e-05
28,21.871641805480692,9.818803015592563e-09,21.62317142593217,1.2751351097851435e-05
29,23.645887839329347,2.389147160670656e-09,22.20268041495447,1.2705407308641445e-05
30,28.95299119948786,1.1813845043695346e-11,22.979504625801944,1.270344745141171e-05
31,27.490454511713164,3.946893674997289e-11,23.415194757679817,1.2703193697794017e-05
32,18.94153262331926,3.4071608377513523e-07,23.233108462954366,1.2735057354499569e-05
33,16.968144308427366,1.9275883068623203e-06,23.655750526914773,3.2422876915927414e-07
34,19.418365824985557,1.7136784201995375e-07,23.31598791607719,3.4051662289459005e-07
35,19.44317014792024,2.1654457350378303e-07,22.108904498757063,3.6217096613190635e-07
36,23.280485630118772,1.446581927728248e-09,21.783981074298843,3.6229989353215077e-07
37,27.94988639320647,4.686490866242038e-11,22.796256028398872,2.6699694859556394e-07
38,34.03558942258059,9.15367352248809e-14,24.01265079010886,2.660150774476782e-07
39,24.549777514067284,1.024317480314219e-09,24.103039757582657,2.658785944796426e-07
40,13.462127558874945,3.215454575031594e-05,22.553953393521365,3.4813319881267322e-06
41,18.685333751482965,2.830400218115066e-07,21.673441317498348,3.509632043414208e-06
42,18.595437649914487,3.65441028530024e-07,21.63883182015787,3.5121045378896968e-06
43,17.99264904271576,8.690187096323391e-07,21.741282293586707,3.4062475781666987e-06
44,12.072838641760582,0.00015273038939868133,21.00672957526421,1.8662149733832838e-05
