episode,task_name,task_index,total_reward,num_steps,final_best_fitness,mean_step_reward,mean_normalized_step_reward,num_updates,replay_size,actor_loss,critic_loss,alpha_loss,alpha,q_mean,log_prob,action_saturation
0,BBOB_F1,0,21.534324122778287,30,2.4018848688904988e-08,21.534324122778298,0.003191599897122076,0,30,,,,,,,
1,BBOB_F1,0,5.231053210281175,30,0.3511998781148628,5.231053210281175,-1.7499592417621206,0,60,,,,,,,
2,BBOB_F1,0,5.634473145882887,30,0.20588932875767132,5.634473145882885,-0.7885900240117906,0,90,,,,,,,
3,BBOB_F1,0,9.145297436221682,30,0.005871444313379282,9.14529743622168,-0.2011502207706348,0,120,,,,,,,
4,BBOB_F1,0,7.698001750491199,30,0.01752720988164402,7.698001750491197,-0.37970440144912504,0,150,,,,,,,
5,BBOB_F1,0,5.419241923200025,30,0.2306362883517378,5.4192419232000235,-0.6856909506058672,0,180,,,,,,,
6,BBOB_F1,0,36.549969778666224,30,4.8971836934403366e-15,36.549969778666224,2.9182883231580115,0,210,,,,,,,
7,BBOB_F1,0,2.748154802563336,30,3.207280331073184,2.7481548025633358,-0.8798690291612582,0,240,,,,,,,
8,BBOB_F1,0,6.3545964524160645,30,0.0861655651611288,6.354596452416066,-0.4799678206147288,0,270,,,,,,,
9,BBOB_F1,0,10.982759905054625,30,0.0005187304753771295,10.98275990505463,-0.01538057846895515,0,300,,,,,,,
10,BBOB_F1,0,17.392383695426687,30,1.6763259760969558e-06,17.39238369542669,0.6171825735631592,0,330,,,,,,,
11,BBOB_F1,0,2.8496790611417246,30,2.7546838725264,2.8496790611417255,-0.8922282245919677,0,360,,,,,,,
12,BBOB_F1,0,4.316644855454616,30,0.674516734566379,4.316644855454615,-0.6829298773896276,0,390,,,,,,,
13,BBOB_F1,0,4.110332064993597,30,1.0272459139939527,4.110332064993598,-0.6674452151880357,0,420,,,,,,,
14,BBOB_F1,0,3.1214932633283063,30,2.357885924438648,3.121493263328306,-0.7389495990226898,0,450,,,,,,,
15,BBOB_F1,0,4.214398957847881,30,1.0541082600975304,4.21439895784788,-0.5843429257103582,0,480,,,,,,,
16,BBOB_F1,0,6.081418490085536,30,0.13414004159577006,6.081418490085534,-0.3520007478123847,0,510,,,,,,,
17,BBOB_F1,0,8.217913072513094,30,0.009006914239035184,8.217913072513092,-0.09333516553731126,0,540,,,,,,,
18,BBOB_F1,0,3.9259278204869994,30,0.5151973430980108,3.9259278204870003,-0.6002987229715239,0,570,,,,,,,
19,BBOB_F1,0,14.077047789427263,30,2.39508868815041e-05,14.07704778942726,0.6487230718817458,0,600,,,,,,,
20,BBOB_F1,0,1.8669390822764105,30,4.436989871776101,1.8669390822764105,-0.8700186137444701,0,630,,,,,,,
21,BBOB_F1,0,12.34579691446104,30,9.9832492911503e-05,12.345796914461044,0.4592822724922282,0,660,,,,,,,
22,BBOB_F1,0,4.366008333042998,30,0.5470425781467916,4.366008333042998,-0.5608784599070321,0,690,,,,,,,
23,BBOB_F1,0,24.343795083264816,30,1.84228002181067e-09,24.343795083264816,1.939059475003187,0,720,,,,,,,
24,BBOB_F1,0,5.563227039407598,30,0.21262519913127104,5.563227039407597,-0.44908961324843216,0,750,,,,,,,
25,BBOB_F1,0,6.728014989265054,30,0.06259242350612002,6.728014989265055,-0.2953420040121299,0,780,,,,,,,
26,BBOB_F1,0,5.587325963694595,30,0.19715600303473535,5.5873259636945924,-0.4320377197921866,0,810,,,,,,,
27,BBOB_F1,0,3.5700969368132727,30,0.8716025538472756,3.5700969368132727,-0.6779499713987733,0,840,,,,,,,
28,BBOB_F1,0,7.00732541277984,30,0.04020487811099836,7.007325412779839,-0.21992736215399097,0,870,,,,,,,
29,BBOB_F1,0,1.9928613444169947,30,6.039860354797777,1.9928613444169945,-0.8680317329785462,0,900,,,,,,,
30,BBOB_F1,0,10.270578261129764,30,0.0011878255476763394,10.27057826112976,0.24205716728856708,0,930,,,,,,,
31,BBOB_F1,0,10.422790170475153,30,0.0017062217558403473,10.42279017047515,0.2583061480029513,1,960,0.005695051979273558,1.5717310905456543,-2.660404920578003,0.19993999600410461,-0.13629549741744995,-0.6530022025108337,0.015625
32,BBOB_F1,0,2.543907832546841,30,3.543076996017941,2.5439078325468407,-0.8120745839550542,30,990,0.11074457317590714,1.6190180778503418,-2.7159929275512695,0.19814689457416534,-0.2451578676700592,-0.6781481504440308,0.004166666883975267
33,BBOB_F1,0,22.332923208443617,30,9.292940125773313e-09,22.332923208443617,1.8564788925324767,30,1020,0.06356815248727798,1.5589144229888916,-2.718064308166504,0.19637487828731537,-0.19520927965641022,-0.6701562404632568,0.0031250000465661287
34,BBOB_F1,0,21.42136948558351,30,2.995202906926324e-08,21.4213694855835,1.6317067033374089,30,1050,0.03471885621547699,1.5670007467269897,-2.706627368927002,0.19462262094020844,-0.1620437651872635,-0.6540189981460571,0.0010416667209938169
