episode,reward,best_fitness,reward_ma10,best_fitness_ma10
1,21.534324122778287,2.4018848688904988e-08,21.534324122778287,2.4018848688904988e-08
2,5.231053210281175,0.3511998781148628,13.38268866652973,0.17559995106685575
3,5.634473145882887,0.20588932875767132,10.79995015964745,0.1856964102971276
4,9.145297436221682,0.005871444313379282,10.386286978791007,0.14074016880119053
5,7.698001750491199,0.01752720988164402,9.848629933131047,0.11609757701728123
6,5.419241923200025,0.2306362883517378,9.110398598142543,0.13518736223969066
7,36.549969778666224,4.8971836934403366e-15,13.030337338217354,0.11587488191973554
8,2.748154802563336,3.207280331073184,11.745064521260602,0.5023005630639166
9,6.3545964524160645,0.0861655651611288,11.14612362472232,0.4560633410747179
10,10.982759905054625,0.0005187304753771295,11.12978725275555,0.4105088800147839
11,17.392383695426687,1.6763259760969558e-06,10.71559321002039,0.41050904524549664
12,2.8496790611417246,2.7546838725264,10.477455795106446,0.6508574446866503
13,4.316644855454616,0.674516734566379,10.345672966063619,0.697720185267521
14,4.110332064993597,1.0272459139939527,9.842176428940808,0.7998576322355785
15,3.1214932633283063,2.357885924438648,9.38452558022452,1.0338935036912789
16,4.214398957847881,1.0541082600975304,9.264041283689306,1.1162407008658581
17,6.081418490085536,0.13414004159577006,6.2171861548312375,1.1296547050254346
18,8.217913072513094,0.009006914239035184,6.764161981826213,0.8098273633420199
19,3.9259278204869994,0.5151973430980108,6.521295118633306,0.852730541135708
20,14.077047789427263,2.39508868815041e-05,6.8307239070705705,0.8526810631768583
21,1.8669390822764105,4.436989871776101,5.278179445755542,1.2963798827218709
22,12.34579691446104,9.9832492911503e-05,6.227791231087474,1.0209214787185217
23,4.366008333042998,0.5470425781467916,6.232727578846313,1.0081740630765632
24,24.343795083264816,1.84228002181067e-09,8.256073880673435,0.9054494718613959
25,5.563227039407598,0.21262519913127104,8.500247258281362,0.6909233993306583
26,6.728014989265054,0.06259242350612002,8.75160886142308,0.5917718156715173
27,5.587325963694595,0.19715600303473535,8.702199608783987,0.5980734118154138
28,3.5700969368132727,0.8716025538472756,8.237417995214004,0.6843329757762378
29,7.00732541277984,0.04020487811099836,8.545557754443287,0.6368337292775366
30,1.9928613444169947,6.039860354797777,7.337139109942261,1.2408173696686262
31,10.270578261129764,0.0011878255476763394,8.177503027827598,0.7972371650457837
32,10.422790170475153,0.0017062217558403473,7.985202353429008,0.7973978039720765
33,2.543907832546841,3.543076996017941,7.802992303379392,1.0970012457591918
34,22.332923208443617,9.292940125773313e-09,7.601905115897273,1.0970012465042576
35,21.42136948558351,2.995202906926324e-08,9.187719360514865,1.0757387295863332
36,9.438681237945875,0.001485122583462791,9.458785985382946,1.0696279994940674
37,3.4626146718329878,2.020853172143906,9.246314856196786,1.2519977164049845
38,6.030053868499571,0.13312050993816055,9.492310549365415,1.178149512014073
39,21.959291782657747,1.3660551809594819e-08,10.987507186353206,1.1741290255690284
40,18.02389136994742,3.3580992501039953e-07,12.590610188906249,0.5701430236702433
41,2.7678573673806546,2.315901097142363,11.840338099531339,0.801614350829712
42,14.347819966079456,2.555843313989268e-05,12.232841079091768,0.8014462844974422
43,24.4070542708793,1.423273395707831e-09,14.419155722925016,0.44713858503797504
44,39.76323496229462,1.4392596012694102e-16,16.162186898310114,0.4471385841086811
45,9.45411986144934,0.0008000556030890549,14.965461935896695,0.4472185866737871
46,21.003366570552284,3.0755621570363025e-08,16.121930469157338,0.447070077491003
47,21.74723814820438,1.271510362922168e-08,17.95039281679448,0.2449847615481228
48,16.02815677881527,4.578713624439996e-06,18.95020310782605,0.23167316842566915
49,11.104315398105541,0.0006871638155438987,17.864705469370826,0.23174188344116836
50,30.95080538487003,1.6820863031578234e-12,19.157396870863085,0.23174184986034407
51,15.42050438626437,9.606161867781807e-06,20.42266157275146,0.00015270076229458935
52,14.85912601892881,1.5149802876736054e-05,20.473792178036394,0.0001516598992682737
53,19.3209390292898,1.2293387594829336e-07,19.965180653877443,0.00015167205032852896
54,14.673554585785364,1.5792931555033135e-05,17.456212616226516,0.00015325134348401787
55,43.46617273026644,4.7972877000365825e-18,20.857417903108228,7.324578317511286e-05
56,15.141991428839962,1.2023961910631763e-05,20.271280388936994,7.444510380401899e-05
57,48.11709874501561,8.327242467029236e-20,22.908266448618114,7.444383229365609e-05
58,12.338118062316834,0.00020294643808604744,22.539262576968277,9.428060473981684e-05
59,50.087562649935386,9.27673771714231e-21,26.437587302151258,2.5564223185426965e-05
60,43.42560618234939,4.77819277951682e-18,27.6850673818992,2.5564223017218816e-05
61,37.47980316642765,3.555564975553539e-15,29.890997259915526,2.4603606830796192e-05
62,49.465989486728205,1.7605456723478995e-20,33.35168360669546,2.308862654312259e-05
63,12.644652323661392,0.00014067964103021204,32.684054936132625,3.714429725854896e-05
64,44.79752383280535,2.4524121826211506e-18,35.69645186083462,3.5565004103045895e-05
65,29.092030974308003,1.0970925908297197e-11,34.25903768523878,3.5565005200138005e-05
66,36.84707666177265,5.254900025010372e-15,36.429546208532045,3.436260900960032e-05
67,44.53176619237334,2.497515578026666e-18,36.071012953267825,3.436260900960056e-05
68,16.619485417889553,2.874022439165781e-06,36.49914968882509,1.4355367444912392e-05
69,56.82312565232172,1.4380362575558085e-23,37.17270598906372,1.4355367444912392e-05
70,15.255422293153579,1.346667899510254e-05,34.355687600144144,1.570203534442217e-05
71,41.618790477290574,4.585409783689297e-17,34.769586331230435,1.57020353440712e-05
72,16.67219224736775,1.7655099270706654e-06,31.49020660729439,1.5878586336778263e-05
73,42.48086182941018,1.7926681311730852e-17,34.47382755786927,1.8106222337588525e-06
74,17.11306233065334,1.4910527701695127e-06,31.705381407654066,1.9597275107755587e-06
75,36.56291603557205,3.511383304094591e-15,32.452469913780476,1.959726414034106e-06
76,48.86107916866344,3.0792563429183235e-20,33.65387016446955,1.9597264135086188e-06
77,50.81652268376744,3.434060630948754e-21,34.28234581360896,1.9597264135083697e-06
78,36.665905016117556,4.448935695961216e-15,36.28698777343176,1.6723241700366853e-06
79,20.933792544669757,3.17995043840844e-08,32.69805446266657,1.6755041204750936e-06
80,41.17486579489825,7.852123499496081e-17,35.289998812841034,3.2883622097269174e-07
81,24.35217628409792,1.3465754767279202e-09,33.56333739352177,3.2897087851577914e-07
82,55.052853696470294,6.475760966292005e-23,37.40140353843202,1.524198858087126e-07
83,28.52352391741902,1.858405349151589e-11,36.00566974723291,1.5242174421226911e-07
